year,t,infections,cins,cancers,cancer_deaths,reinfections,reactivations,n_susceptible,n_infectious,n_inactive,n_normal,n_cin,n_cancerous,n_infected,n_abnormal,n_latent,n_precin,n_screened,n_cin_treated,n_cancer_treated,n_vaccinated,n_tx_vaccinated,hpv_incidence,cin_incidence,cancer_incidence,births,other_deaths,migration,asr_cancer_incidence,asr_cancer_mortality,new_vaccinated,cum_vaccinated,new_doses,cum_doses,new_txvx_doses,new_tx_vaccinated,cum_txvx_doses,cum_tx_vaccinated,new_screens,new_screened,new_cin_treatments,new_cin_treated,new_cancer_treatments,new_cancer_treated,cum_screens,cum_screened,cum_cin_treatments,cum_cin_treated,cum_cancer_treatments,cum_cancer_treated,cancer_mortality,n_alive,cdr,cbr,hpv_prevalence,precin_prevalence,cin_prevalence,Seed
1980,0,10496091.25,23175.64612,84.37734985,0,3494262.773,0,214412672,10031510,84.37734985,55915140,22247.49414,84.37734985,10031594,22331.87109,0,5310766.5,0,0,0,0,0,0.012238189,0.000812833,0.295704645,739989.3376,714479.1875,-27282.00903,0.228774175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55915140,0.01277792,0.01323415,0.179405971,0.04652948,0.000779672,0
1981,1,8114316.125,34229.07861,675.0187683,0,5604681.125,0,215390608,9154296,759.3961792,55889132,48151.33594,759.3961792,9155054,48910.73438,0,4597075,0,0,0,0,0,0.009418141,0.001203745,2.369909467,718051.2272,708207.125,54282.76023,2.326138247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55889132,0.012671643,0.012847779,0.163793848,0.040348364,0.00169049,0
1982,2,7564710,39432.34961,1603.169632,0,5610474.75,0,215728400,8665975,2362.56543,55814460,74617.69531,2362.56543,8668338,76980.25781,0,4202526,0,0,0,0,0,0.008766474,0.001390948,5.640688599,709613.4925,728260.8125,15469.18038,4.908023527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55814460,0.013047888,0.012713793,0.155263976,0.036962979,0.002625176,0
1983,3,7195981.125,36394.76367,2503.194641,0,5475921,0,215985472,8286474,4809.508789,55749040,93096.32813,4809.508789,8291284,97905.84375,0,3919299.5,0,0,0,0,0,0.008329242,0.001287315,8.826458579,711301.0394,695860,-14062.89125,7.880367598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55749040,0.012482009,0.012758983,0.148638864,0.034543527,0.003282092,0
1984,4,6903810.375,34369.70752,2728.20108,28.12578201,5381249.375,0,216539264,7945448.5,7481.458008,55772112,106456.0859,7481.458008,7952930,113937.5391,0,3662061,0,0,0,0,0,0.007970622,0.001219344,9.645053633,717488.7116,665399.75,29813.32945,8.682672322,0.103517975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.099407242,55772112,0.011930689,0.01286465,0.142462751,0.032357801,0.003762564,0
1985,5,6726336.625,48516.97266,2587.572021,84.37734985,5252827,0,217276720,7725646,9900.275391,55856792,136381.9063,9900.275391,7735547,146282.1875,0,3492687.5,0,0,0,0,0,0.007739366,0.0017216,9.140841509,734364.1811,715857.375,126566.0213,8.285993337,0.316739197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.297966714,55856792,0.012815941,0.013147267,0.138311667,0.030834834,0.004816135,0
1986,6,6519387.5,43201.20215,3712.603516,112.5031281,5123644.5,0,218058336,7562714,13444.125,55971344,153566.7656,13444.125,7576157,167010.875,0,3359709,0,0,0,0,0,0.007474362,0.001531166,13.09343352,741114.3689,712088.5,137535.0764,11.9707732,0.276129302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396582646,55971344,0.012722376,0.013240961,0.135117606,0.029608116,0.005413353,0
1987,7,6301665.625,43032.44922,3628.226135,590.6414108,4984928.75,0,218769632,7364651,16312.95215,56068096,171736.0156,16312.95215,7380964,188048.9688,0,3227180,0,0,0,0,0,0.007201257,0.001523888,12.77813697,761083.6745,661546.5,44438.73635,11.76334626,1.899787593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.078967236,56068096,0.011798983,0.013574274,0.131351901,0.028397947,0.006044845,0
1988,8,6138001.625,45901.27734,3600.100342,421.8867264,4913798.75,0,219453088,7223826,19266.16016,56165076,187514.5625,19266.16016,7243092,206780.75,0,3127699.25,0,0,0,0,0,0.006992385,0.001626392,12.68042549,769802.667,698785.0625,73408.29233,11.67126468,1.309996757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48497954,56165076,0.012441629,0.013706074,0.128617755,0.027522609,0.006600238,0
1989,9,6182215.5,41457.40332,4275.119019,1237.53447,4757475.75,0,220048240,7125976,22106.86523,56275944,193364.7344,22106.86523,7148083,215471.6094,0,3095186,0,0,0,0,0,0.007023705,0.001452228,14.88618513,766990.0888,714760.5,98721.49658,13.44276124,3.494967767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.305844392,56275944,0.012700995,0.013629093,0.126625615,0.026923269,0.006727881,0
