year,t,infections,cins,cancers,cancer_deaths,reinfections,reactivations,n_susceptible,n_infectious,n_inactive,n_normal,n_cin,n_cancerous,n_infected,n_abnormal,n_latent,n_precin,n_screened,n_cin_treated,n_cancer_treated,n_vaccinated,n_tx_vaccinated,hpv_incidence,cin_incidence,cancer_incidence,births,other_deaths,migration,asr_cancer_incidence,asr_cancer_mortality,new_vaccinated,cum_vaccinated,new_doses,cum_doses,new_txvx_doses,new_tx_vaccinated,cum_txvx_doses,cum_tx_vaccinated,new_screens,new_screened,new_cin_treatments,new_cin_treated,new_cancer_treatments,new_cancer_treated,cum_screens,cum_screened,cum_cin_treatments,cum_cin_treated,cum_cancer_treatments,cum_cancer_treated,cancer_mortality,n_alive,cdr,cbr,hpv_prevalence,precin_prevalence,cin_prevalence,Seed
1980,0,10350372,23203.77209,168.7546921,0,3464280.563,0,214589584,9945670,168.7546844,55914648,21825.60547,168.7546844,9945839,21994.36133,0,5248496,14031782,928.1508179,0,0,0,0.012058335,0.000813822,0.591421416,739989.3376,714479.1875,-27282.00903,0.552429139,0,0,0,0,0,0,0,0,0,14110338.38,14110338.38,928.1508064,928.1508064,0,0,14110338.38,14110338.38,928.1508064,928.1508064,0,0,0,55914648,0.012778032,0.013234266,0.177872353,0.045984715,0.0007649,0
1981,1,7943845.5,33469.68164,703.1445389,0,5484386.75,0,215597616,9043087,871.899353,55898864,42610.55859,815.6477661,9043958,43426.20313,56.25156403,4541244.5,14424926,8072.099609,56.25156403,0,0,0.009211425,0.001176442,2.467890258,718332.4851,681628.3125,28969.55598,2.454627239,0,0,0,0,0,0,0,0,0,2927359.406,527470.9063,7397.080299,7397.080299,56.25156403,0,17037697.79,14637809.29,8325.231106,8325.231106,56.25156403,56.25156403,0,55898864,0.012193956,0.012850574,0.161775864,0.039845905,0.001495499,0
1982,2,7429762.75,37829.17773,1406.289063,0,5484920.75,28.12578201,215882816,8580670,2278.188232,55826552,64098.65625,2165.684814,8582920,66264.33594,112.5031281,4164837.5,14693302,13978.51465,112.5031281,0,0,0.00860393,0.001333439,4.946225068,710457.266,692569.25,-22781.88383,4.493579423,0,0,0,0,0,0,0,0,0,1352962.572,403014.3125,5962.665504,5962.665504,56.25156403,0,18390660.36,15040823.6,14287.89661,14287.89661,112.5031281,112.5031281,0,55826552,0.012405732,0.012726153,0.15370231,0.036618813,0.002254318,0
1983,3,7110816.375,35382.23633,1940.678986,0,5445713.375,28.12578201,216182352,8175940,4190.741211,55762288,77345.89844,3881.357422,8180074,81227.25,309.383606,3877870,14980916,22613.12891,365.6351929,0,0,0.008223169,0.001250256,6.839768849,711019.7816,697828.75,-12937.85995,6.052063345,0,0,0,0,0,0,0,0,0,1354959.502,411255.1641,8831.495075,8831.495075,253.1320381,0,19745619.86,15452078.77,23119.39169,23119.39169,365.6351662,365.6351662,0,55762288,0.012514349,0.012750908,0.146621315,0.034163438,0.002725622,0
1984,4,6762056.75,36422.89014,1912.553253,28.12578201,5265933.75,28.12578201,216787904,7857668,5990.791992,55789036,89552.48438,5456.401855,7863575,95008.89063,534.3898926,3646423.25,15311788,31557.12695,646.8930664,0,0,0.00779801,0.001290611,6.756817042,716926.1959,693638,54564.01805,6.37997026,0.102860191,0,0,0,0,0,0,0,0,1133890.838,455468.8984,9253.381966,8887.74691,281.2578201,0,20879510.7,15907547.66,32372.77365,32007.1386,646.8929863,646.8929863,0.099345802,55789036,0.012433232,0.012850665,0.140846097,0.032199713,0.00316317,0
1985,5,6613214.75,44185.60352,2137.55957,28.12578201,5218626.125,56.25156403,217587232,7608643,8015.847168,55877988,85080.48438,6440.804688,7616546.5,91521.28906,1575.043701,3509394.25,15646091,68289.39844,2109.43335,0,0,0.007598349,0.001563942,7.544855717,734645.4389,707841.5,118409.5443,6.631380599,0.112254428,0,0,0,0,0,0,0,0,10428223.91,453190.7031,37154.15866,36732.27109,1462.540741,0,31307734.61,16360738.37,69526.93231,68739.40968,2109.433727,2109.433727,0.099251847,55877988,0.012667627,0.013147314,0.1361653,0.030960371,0.003002368,0
1986,6,6362895.375,38813.5791,2756.326843,112.5031281,5067646.75,253.1320381,218467008,7371148,10547.16797,55994520,86064.88281,8353.356445,7381386,94418.25,2193.810547,3343958.5,16005569,87752.42969,2756.32666,0,0,0.0072813,0.001371277,9.711394317,741676.8845,694425.5,120940.8648,8.814320688,0.352219755,0,0,0,0,0,0,0,0,2915124.654,474594.4375,20559.94774,20503.69615,759.3961029,0,34222859.27,16835332.8,90086.88005,89243.10583,2868.82983,2868.82983,0.396266785,55994520,0.012401669,0.013245526,0.131640525,0.029445841,0.003031441,0
1987,7,6137467.5,42863.69336,3375.094055,309.3836098,4944765.25,225.0062637,219247216,7132585,13584.75391,56091076,97512.07813,10744.04883,7145861.5,108256.1328,2840.703857,3201164,16342937,103221.625,3543.848633,0,0,0.006998341,0.00151278,11.87528609,760521.1588,696506.8125,79314.70665,11.32332073,0.99024919,0,0,0,0,0,0,0,0,1874808.242,467309.8516,16734.83969,16200.45058,900.0249939,0,36097667.51,17302642.66,106821.7197,105443.5564,3768.854824,3768.854824,1.088156494,56091076,0.012417426,0.013558684,0.12716078,0.02814764,0.003429671,0
1988,8,5895276.375,46154.40918,2503.194641,337.5093842,4744453.375,421.8867264,220035024,6968387,15497.30469,56199664,108228.0156,11137.81055,6983406.5,119365.8125,4359.496094,3094932.5,16669898,122909.6641,5484.527344,0,0,0.006698111,0.001628821,8.803784371,770083.9249,686803.4375,63564.26845,8.114773948,1.018120862,0,0,0,0,0,0,0,0,2012315.211,457831.4531,22050.6134,20616.19855,2193.811157,0,38109982.72,17760474.11,128872.3331,126059.755,5962.665981,5962.665981,1.186562287,56199664,0.012220775,0.013702643,0.123993393,0.027201689,0.00380491,0
1989,9,5960556.125,42638.6875,2643.823669,618.7671967,4633103.25,421.8867378,220742096,6864996.5,17212.97656,56302332,115006.3281,11672.19922,6881535,126678.5156,5540.779297,3062925.5,17076990,138519.4688,6637.685059,0,0,0.006750588,0.001488119,9.193964156,767552.6044,665906,45001.252,8.158309541,1.827831734,0,0,0,0,0,0,0,0,1891065.02,593650.8594,18169.25703,17269.23073,1462.540726,0,40001047.74,18354124.97,147041.5902,143328.9857,7425.206707,7425.206707,2.150905627,56302332,0.011827325,0.013632697,0.121930944,0.026617699,0.003997752,0
