year,t,infections,cins,cancers,cancer_deaths,reinfections,reactivations,n_susceptible,n_infectious,n_inactive,n_normal,n_cin,n_cancerous,n_infected,n_abnormal,n_latent,n_precin,n_screened,n_cin_treated,n_cancer_treated,n_vaccinated,n_tx_vaccinated,hpv_incidence,cin_incidence,cancer_incidence,births,other_deaths,migration,asr_cancer_incidence,asr_cancer_mortality,new_vaccinated,cum_vaccinated,new_doses,cum_doses,new_txvx_doses,new_tx_vaccinated,cum_txvx_doses,cum_tx_vaccinated,new_screens,new_screened,new_cin_treatments,new_cin_treated,new_cancer_treatments,new_cancer_treated,cum_screens,cum_screened,cum_cin_treatments,cum_cin_treated,cum_cancer_treatments,cum_cancer_treated,cancer_mortality,n_alive,cdr,cbr,hpv_prevalence,precin_prevalence,cin_prevalence,Seed
1980,0,7593960.813,0,0,0,2250062.5,0,218818560,6553307,0,55773416,0,0,6553307,0,0,3178213,15750436,0,0,0,0,0.008676093,0,0,843773.475,2250062.5,1406289.125,0,0,0,0,0,0,0,0,0,0,15750437.81,15750437.81,0,0,0,0,15750437.81,15750437.81,0,0,0,0,0,55773416,0.040342921,0.015128596,0.117498756,0.027085332,0,0
1981,1,6468929.25,0,0,0,4218867.188,0,212912144,5709535,0,54085872,0,0,5709535,0,0,2615697.5,15750436,0,0,0,0,0.007595773,0,0,562515.65,1125031.25,-1125031.3,0,0,0,0,0,0,0,0,0,0,3093835.938,843773.4375,0,0,0,0,18844273.75,16594211.25,0,0,0,0,0,54085872,0.020800834,0.010400418,0.105564259,0.023180459,0,0
1982,2,7031445.125,0,0,0,4500124.938,0,214880944,7115823,0,54929644,0,0,7115823,0,0,3740729,16031694,0,0,0,0,0.008180629,0,0,562515.65,0,281257.825,0,0,0,0,0,0,0,0,0,0,843773.4375,281257.8125,0,0,0,0,19688047.19,16875469.06,0,0,0,0,0,54929644,0,0.010240657,0.129544313,0.032502449,0,0
1983,3,2250062.5,0,0,0,1687546.875,0,219381056,4865761,0,55492160,0,0,4865761,0,0,2053182,16875468,0,0,0,0,0.002564103,0,0,562515.65,281257.8125,281257.825,0,0,0,0,0,0,0,0,0,0,1125031.25,843773.4375,0,0,0,0,20813078.44,17719242.5,0,0,0,0,0,55492160,0.005068424,0.010136849,0.087683756,0.017666992,0,0
1984,4,7312703,0,0,0,5906413.875,0,219662320,5709535,0,56054672,0,0,5709535,0,0,2896955.25,17437984,0,0,0,0,0.008322664,0,0,562515.65,281257.8125,281257.825,0,0,0,0,0,0,0,0,0,0,1125031.25,843773.4375,0,0,0,0,21938109.69,18563015.94,0,0,0,0,0,56054672,0.005017562,0.010035125,0.101856541,0.0246884,0,0
1985,5,4781382.75,28125.7832,0,0,3375093.75,0,221631120,4303245,0,56335932,28125.7832,0,4303245,28125.7832,0,2025056.25,17437984,0,0,0,0,0.005393402,0.000959693,0,562515.65,562515.625,281257.825,0,0,0,0,0,0,0,0,0,0,11250312.31,281257.8125,0,0,0,0,33188422,18844273.75,0,0,0,0,0,56335932,0.009985024,0.009985024,0.076385441,0.017257912,0.000958773,0
1986,6,7875218.25,0,0,0,3656351.5,0,220224832,5709535,0,56335932,28125.7832,0,5709535,28125.7832,0,2587571.75,17719242,0,0,0,0,0.008939975,0,0,843773.475,843773.4375,0,0,0,0,0,0,0,0,0,0,0,3375093.75,281257.8125,0,0,0,0,36563515.75,19125531.56,0,0,0,0,0,56335932,0.014977536,0.014977536,0.101348017,0.022051776,0.000958773,0
1987,7,7031444.875,0,0,0,5625156,0,221068608,6553307,0,56617192,28125.7832,0,6553307,28125.7832,0,3150087.25,18056750,0,0,0,0,0.007951655,0,0,843773.475,562515.625,0,0,0,0,0,0,0,0,0,0,0,1462540.629,337509.3789,0,0,0,0,38026056.38,19463040.94,0,0,0,0,0,56617192,0.009935421,0.014903132,0.115747651,0.026845639,0.000958773,0
1988,8,7875218.5,281257.8125,0,0,5906414.063,0,224162432,6553307,0,57460964,309383.5938,0,6553307,309383.5938,0,2868829.5,18056750,0,0,0,0,0.008782937,0.009505705,0,843773.475,0,0,0,0,0,0,0,0,0,0,0,0,1434414.846,0,0,0,0,0,39460471.22,19463040.94,0,0,0,0,0,57460964,0,0.01468429,0.114047982,0.023988712,0.010348073,0
1989,9,6468929.375,0,0,0,5625156.125,0,223318656,7368955.5,0,57714096,281257.8125,0,7368955.5,281257.8125,0,3431345,18338008,0,0,0,0,0.007241815,0,0,843773.475,590641.375,0,0,0,0,0,0,0,0,0,0,0,900025.0039,281257.8125,0,0,0,0,40360496.23,19744298.75,0,0,0,0,0,57714096,0.010233919,0.014619885,0.127680342,0.028719398,0.009416197,0
