year,t,infections,cins,cancers,cancer_deaths,reinfections,reactivations,n_susceptible,n_infectious,n_inactive,n_normal,n_cin,n_cancerous,n_infected,n_abnormal,n_latent,n_precin,n_screened,n_cin_treated,n_cancer_treated,n_vaccinated,n_tx_vaccinated,hpv_incidence,cin_incidence,cancer_incidence,births,other_deaths,migration,asr_cancer_incidence,asr_cancer_mortality,new_vaccinated,cum_vaccinated,new_doses,cum_doses,new_txvx_doses,new_tx_vaccinated,cum_txvx_doses,cum_tx_vaccinated,new_screens,new_screened,new_cin_treatments,new_cin_treated,new_cancer_treatments,new_cancer_treated,cum_screens,cum_screened,cum_cin_treatments,cum_cin_treated,cum_cancer_treatments,cum_cancer_treated,cancer_mortality,n_alive,cdr,cbr,hpv_prevalence,precin_prevalence,cin_prevalence
1980,0,13201144.25,150951.0547,0,0,4641147.508,0,213299168,11603516,0,55972548,127522.2813,0,11603516,127522.2813,0,5890242,14050403,2362.56543,0,0,0,0.015472569,0.005303171,0,739989.3376,715182.375,-27282.00903,0,0,0,0,0,0,0,0,0,0,14125582.91,14125582.91,2362.565582,2362.565582,0,0,14125582.91,14125582.91,2362.565582,2362.565582,0,0,0,55972548,0.012777377,0.013220576,0.207307268,0.051502853,0.004460096
1981,1,10466024.75,305389.7031,28.12578201,0,7277095.75,0,213889248,11082345,28.12578201,55962684,297739.5,0,11082374,297739.5,28.12578201,5302104,14452263,39544.84375,28.12578201,0,0,0.012232995,0.010807174,0.098494134,718332.4851,692119.25,37407.29073,0.084176501,0,0,0,0,0,0,0,0,0,2978351.581,532421.0342,37576.04375,37576.04375,28.12578201,0,17103934.5,14658003.95,39938.60933,39938.60933,28.12578201,28.12578201,0,55962684,0.012367514,0.012835919,0.198030977,0.046418811,0.010426588
1982,2,9947779.5,344625.1641,56.25156403,0,7383186.375,0,214118192,10715445,84.37734985,55890652,447256.1563,56.25156403,10715529,447312.4375,28.12578201,4910086.5,14729725,76474,28.12578201,0,0,0.011614823,0.012285605,0.197385435,710176.0081,698531.875,-14062.89125,0.217089967,0,0,0,0,0,0,0,0,0,1472047.119,405939.3906,38672.94482,38672.94482,0,0,18575981.61,15063943.34,78611.55416,78611.55416,28.12578201,28.12578201,0,55890652,0.012498188,0.012706526,0.191721596,0.043073364,0.015694084
1983,3,9586701,349884.6875,112.5031281,0,7335512.75,0,214383136,10511730,196.8804626,55831336,542461.9375,140.6289063,10511927,542602.5625,56.25156403,4669554.5,15016242,127100.3984,56.25156403,0,0,0.011179402,0.012538401,0.395478143,711019.7816,689222.25,-25031.94643,0.426611831,0,0,0,0,0,0,0,0,0,1408904.714,420199.1484,51976.43926,51948.31328,28.12578201,0,19984886.33,15484142.49,130587.9934,130559.8674,56.25156403,56.25156403,0,55831336,0.012344721,0.012735138,0.188276526,0.041036584,0.019068872
1984,4,9470709.5,381582.4453,337.509388,0,7380626.75,0,214927088,10363901,534.3898926,55856816,632745.6875,478.1383057,10364435,633223.875,56.25156403,4477934,15352881,178598.7188,56.25156403,0,0,0.011016189,0.013751852,1.189251682,717207.4538,691838,52595.21328,1.034486163,0,0,0,0,0,0,0,0,0,1250050.352,470656.8281,54507.75879,53523.35938,0,0,21234936.68,15954799.32,185095.7522,184083.2268,56.25156403,56.25156403,0,55856816,0.012385919,0.012840106,0.18554407,0.039445576,0.022295119
1985,5,9325187.25,368447.6875,590.6414032,0,7395898.875,0,167343760,10124803,1125.03125,55945240,558690.5,956.2766113,10125929,559646.75,168.7546844,4388690.5,15685439,382285.625,168.7546844,0,0,0.013931185,0.013231186,2.079382955,734364.1811,717938.6875,130222.373,1.768747788,0,0,0,0,0,0,0,0,0,10498341.47,467028.5938,211590.2453,209030.8039,112.5031281,0,31733278.15,16421827.91,396685.9975,393114.0307,168.7546921,168.7546921,0,55945240,0.012832882,0.013126482,0.180977023,0.038625217,0.01966832
1986,6,9062323.25,371485.2969,956.2765656,0,7216007,28.12578201,168120784,9957230,2081.307617,56064636,594466.5,1884.427124,9959311,596350.9375,196.8804626,4258131,16032116,478700.7813,225.0062561,0,0,0.013475912,0.013331207,3.360258389,741395.6267,704100.75,130784.8886,2.711231894,0,0,0,0,0,0,0,0,0,3095017.174,471444.3438,105640.4371,103671.6295,56.25156403,0,34828295.33,16893272.25,502326.4346,496785.6602,225.0062561,225.0062561,0,56064636,0.012558732,0.013223944,0.177602687,0.037404119,0.020887564
1987,7,9010571.5,362344.4063,759.3961029,0,7167236.625,28.12578201,168838528,9845458,2840.703857,56162284,617895.3125,2503.19458,9848298,620398.4375,337.5093994,4161153,16378880,564400,393.7609863,0,0,0.013341995,0.012994138,2.664490438,760802.4166,671953,55126.5337,1.994692555,0,0,0,0,0,0,0,0,0,2064263.59,472428.75,95487.01935,90846.26837,168.7546997,0,36892558.92,17365701,597813.454,587631.9286,393.7609558,393.7609558,0,56162284,0.011964488,0.013546501,0.175303732,0.036497352,0.021678167
1988,8,8771727.75,351150.3359,1321.911713,28.12578201,7047167.625,28.12578201,169525200,9745696,4078.238037,56259404,616404.625,3600.100586,9749746,620004.75,478.1383057,4107236,16700556,659465.1875,562.515686,0,0,0.012935728,0.012590976,4.63798534,770083.9249,687056.5625,56251.565,3.780995294,0.095375128,0,0,0,0,0,0,0,0,2310757.875,457381.4453,113740.6512,102996.6072,168.7546921,0,39203316.79,17823082.45,711554.1052,690628.5358,562.5156479,562.5156479,0.098668079,56259404,0.012212297,0.013688092,0.173227857,0.036021495,0.021624096
1989,9,8842014.25,350419.0703,1209.40863,56.25156403,6895175.875,28.12578201,170195872,9650181,5062.640625,56366092,627176.75,4303.244141,9655215,631480,759.3961792,4085213.5,17104470,746289.5,843.7735596,0,0,0.012987998,0.012423925,4.195248832,767552.6044,676734.375,57657.85413,3.464216196,0.115039991,0,0,0,0,0,0,0,0,2169594.561,589432.0078,105106.0418,94896.38087,309.3836021,0,41372911.35,18412514.46,816660.147,785524.9167,871.89925,871.89925,0.195098729,56366092,0.012006055,0.013617276,0.17120543,0.035422125,0.021752531
1990,10,8799882,336834.3438,1518.792236,112.5031281,7006300.875,112.5031281,170925936,9581498,6328.301758,56491972,591878.9375,5315.772461,9587714,597194.6875,1012.528198,4058156.5,17429996,891024.75,1181.282715,0,0,0.012870899,0.011908548,5.260496436,784146.8161,688097.25,71158.22973,4.330519869,0.284934339,0,0,0,0,0,0,0,0,8570206.434,469672.4219,160007.5676,150754.1852,393.7609558,0,49943117.79,18882186.88,976667.7146,936279.1019,1265.660206,1265.660206,0.38959467,56491972,0.012180443,0.013880677,0.169608135,0.03513316,0.020496575
1991,11,8651715.25,359081.8047,2165.685333,253.1320419,6886794.875,112.5031281,171815952,9469220,8212.727539,56656236,601357.3125,6890.817383,9477291,608248.125,1321.911377,4000976.75,17754008,1000827.75,1575.043701,0,0,0.012588638,0.01266659,7.482535603,780209.2066,693019.25,125440.99,6.194218805,0.687032382,0,0,0,0,0,0,0,0,3245715.105,475325.6953,129547.341,117031.3711,393.7609482,0,53188832.89,19357512.57,1106215.056,1053310.473,1659.421154,1659.421154,0.874373877,56656236,0.012232003,0.013770933,0.167134647,0.034550639,0.020772207
