,source,target
0,1000m,3174f
1,1001m,7911f
2,1002m,2624f
3,1004m,5044f
4,1007m,3740f
5,100m,3192f
6,1012m,704f
7,1013m,208f
8,1016m,3659f
9,1019m,1324f
10,1027m,3026f
11,102m,4485f
12,1034m,3018f
13,1035m,135f
14,1039m,6336f
15,1042m,729f
16,1043m,1680f
17,1045m,3077f
18,1045m,2717f
19,1048m,2047f
20,1053m,1852f
21,1056m,4677f
22,105m,373f
23,1060m,4115f
24,1064m,90f
25,1066m,4831f
26,1068m,3244f
27,106m,4504f
28,1070m,5011f
29,1074m,3237f
30,1075m,858f
31,1085m,78f
32,1086m,3234f
33,1087m,2439f
34,1089m,4257f
35,1090m,5680f
36,1096m,3219f
37,1099m,812f
38,1102m,2568f
39,1105m,3834f
40,1108m,3403f
41,1111m,2997f
42,1114m,4961f
43,1115m,791f
44,1120m,244f
45,1127m,1818f
46,1129m,3323f
47,1130m,5499f
48,1133m,4666f
49,1138m,3308f
50,1141m,4453f
51,1142m,5301f
52,1143m,2249f
53,1147m,2985f
54,1148m,2736f
55,1150m,6314f
56,1152m,695f
57,1156m,5572f
58,1158m,1861f
59,1159m,2612f
60,1160m,4588f
61,1162m,1337f
62,1162m,4546f
63,1164m,657f
64,1167m,1424f
65,1168m,2461f
66,1170m,840f
67,1171m,3548f
68,1179m,5284f
69,1182m,2830f
70,1197m,6649f
71,1199m,3982f
72,119m,4156f
73,11m,2277f
74,1204m,2034f
75,1205m,2813f
76,1205m,2726f
77,1210m,179f
78,1212m,289f
79,1213m,2990f
80,1213m,3853f
81,1216m,2422f
82,121m,802f
83,1225m,2396f
84,1226m,1585f
85,1229m,5333f
86,1232m,3524f
87,1234m,7593f
88,1235m,4846f
89,1237m,1135f
90,1238m,5277f
91,1239m,1910f
92,123m,348f
93,1240m,4471f
94,1243m,4990f
95,1245m,735f
96,124m,660f
97,1254m,994f
98,1254m,51f
99,1255m,3565f
100,1256m,3075f
101,125m,2519f
102,1263m,1608f
103,1272m,2262f
104,1273m,242f
105,1279m,186f
106,127m,593f
107,1280m,1187f
108,1288m,1014f
109,1293m,1059f
110,1294m,4081f
111,1297m,1973f
112,129m,4044f
113,1306m,4290f
114,1311m,480f
115,1312m,3409f
116,1318m,3726f
117,1323m,5323f
118,132m,3772f
119,1331m,2545f
120,1333m,4233f
121,1338m,1260f
122,1339m,2097f
123,133m,2493f
124,1346m,4997f
125,1347m,3201f
126,1348m,3290f
127,1352m,3213f
128,1354m,4652f
129,1364m,3071f
130,1373m,4743f
131,1373m,7219f
132,1379m,101f
133,137m,1215f
134,137m,2300f
135,1383m,4971f
136,1389m,3979f
137,138m,1653f
138,1390m,4046f
139,1396m,4109f
140,139m,4315f
141,1401m,4295f
142,1402m,234f
143,1406m,6929f
144,1410m,1217f
145,1416m,2718f
146,1418m,3143f
147,1419m,4551f
148,141m,1663f
149,1420m,1091f
150,1421m,1859f
151,1422m,1594f
152,1425m,2655f
153,1428m,1624f
154,1428m,1622f
155,142m,3887f
156,1430m,4096f
157,1431m,2056f
158,1432m,317f
159,1433m,6836f
160,1435m,3958f
161,1439m,627f
162,1440m,5356f
163,1451m,5348f
164,1451m,5387f
165,1456m,3194f
166,1457m,3704f
167,145m,3629f
168,1467m,1378f
169,1470m,4565f
170,1471m,996f
171,1472m,869f
172,1475m,3528f
173,1476m,1602f
174,1477m,3565f
175,1482m,3983f
176,1488m,4505f
177,1489m,526f
178,1490m,3698f
179,1495m,5518f
180,1498m,4350f
181,1499m,4276f
182,1500m,1753f
183,1505m,4393f
184,1507m,1151f
185,1509m,2515f
186,1511m,6326f
187,1512m,2077f
188,1513m,4174f
189,1520m,835f
190,1522m,3184f
191,1526m,5290f
192,152m,4095f
193,1533m,710f
194,1535m,2171f
195,153m,1466f
196,1544m,2705f
197,1546m,5365f
198,154m,3803f
199,1550m,4154f
200,1552m,853f
201,1553m,803f
202,1554m,3034f
203,1557m,671f
204,1564m,2646f
205,1567m,1620f
206,1570m,2002f
207,1571m,3208f
208,1572m,1302f
209,1574m,2966f
210,1582m,4435f
211,1589m,2347f
212,1592m,936f
213,1593m,6739f
214,159m,3777f
215,1605m,3437f
216,1605m,5899f
217,1607m,1011f
218,160m,2149f
219,1612m,1270f
220,1623m,3485f
221,1627m,5368f
222,1630m,167f
223,1630m,2672f
224,1635m,1831f
225,1640m,6928f
226,1641m,2362f
227,1642m,3406f
228,1643m,7026f
229,1649m,2170f
230,1650m,1918f
231,1652m,6930f
232,1660m,4317f
233,1668m,2051f
234,1669m,1979f
235,1670m,2693f
236,1672m,4213f
237,1672m,7693f
238,1673m,2427f
239,1676m,1769f
240,1678m,2181f
241,1679m,3944f
242,1681m,4495f
243,1683m,1407f
244,1684m,2332f
245,1685m,1661f
246,1689m,4481f
247,16m,4401f
248,1703m,1381f
249,1704m,1568f
250,1705m,3039f
251,1710m,407f
252,1714m,3521f
253,1715m,754f
254,1718m,816f
255,1723m,4705f
256,1726m,3665f
257,1727m,933f
258,1728m,1886f
259,1729m,3110f
260,1732m,4175f
261,1735m,4171f
262,1736m,282f
263,173m,6927f
264,1747m,7793f
265,1751m,4118f
266,1755m,1830f
267,1758m,3615f
268,175m,1069f
269,1762m,6648f
270,1764m,2477f
271,1770m,284f
272,1771m,2617f
273,1774m,4667f
274,1776m,5571f
275,1777m,190f
276,1786m,3657f
277,1787m,4784f
278,1787m,6444f
279,1794m,6835f
280,1801m,266f
281,1803m,3999f
282,1804m,2953f
283,1806m,1145f
284,1807m,5495f
285,1808m,5331f
286,180m,4496f
287,1810m,1195f
288,1815m,2680f
289,1816m,5339f
290,1817m,7218f
291,181m,4488f
292,1820m,3454f
293,1822m,5286f
294,1827m,2175f
295,1829m,5767f
296,1835m,2879f
297,1836m,475f
298,1837m,1412f
299,1839m,3139f
300,1844m,354f
301,1846m,4803f
302,1855m,5309f
303,185m,2102f
304,1862m,4352f
305,1863m,2125f
306,1866m,4788f
307,1869m,3621f
308,1872m,4492f
309,1875m,429f
310,1875m,4485f
311,1877m,1842f
312,187m,4746f
313,1882m,5285f
314,1885m,1497f
315,1888m,1748f
316,1891m,5316f
317,189m,4937f
318,1902m,2338f
319,1904m,1800f
320,1905m,3831f
321,1907m,918f
322,1911m,3349f
323,1912m,756f
324,1913m,3777f
325,1913m,7406f
326,1919m,913f
327,1920m,4004f
328,1925m,4101f
329,1926m,440f
330,1929m,5328f
331,192m,2321f
332,1932m,2779f
333,1938m,3966f
334,1939m,6315f
335,1942m,1388f
336,1943m,1646f
337,1943m,687f
338,1944m,3500f
339,1953m,2767f
340,1960m,1376f
341,1966m,902f
342,1969m,2109f
343,1971m,4451f
344,1974m,7311f
345,1976m,2444f
346,1978m,3766f
347,197m,556f
348,1982m,40f
349,1985m,4091f
350,1986m,1621f
351,198m,4356f
352,1993m,2286f
353,1995m,3795f
354,199m,3030f
355,2001m,2343f
356,200m,3059f
357,2013m,3099f
358,2013m,4213f
359,2016m,3939f
360,2018m,2880f
361,201m,2381f
362,2021m,202f
363,2022m,2587f
364,2025m,493f
365,2029m,2980f
366,2033m,3964f
367,2037m,4274f
368,2039m,4322f
369,2040m,2399f
370,2041m,3494f
371,2043m,4395f
372,2044m,3789f
373,2049m,14f
374,2053m,4420f
375,2053m,2273f
376,2057m,5375f
377,2059m,2235f
378,2062m,2076f
379,2064m,1793f
380,2066m,2414f
381,2067m,7123f
382,2072m,5321f
383,2073m,4992f
384,2075m,4763f
385,2075m,7597f
386,2081m,4989f
387,2087m,6030f
388,2089m,4635f
389,2091m,3853f
390,2091m,4558f
391,2094m,2683f
392,2098m,4675f
393,2100m,1041f
394,2106m,468f
395,2112m,606f
396,2115m,2080f
397,2117m,1516f
398,2119m,4930f
399,2122m,4560f
400,2123m,4051f
401,2129m,2205f
402,2130m,4969f
403,2134m,1922f
404,2139m,4894f
405,2142m,1566f
406,2145m,4671f
407,2147m,108f
408,2155m,1117f
409,2161m,1597f
410,2169m,4486f
411,216m,4728f
412,2176m,3739f
413,2177m,3424f
414,217m,4761f
415,2182m,873f
416,2185m,1662f
417,2186m,2647f
418,2187m,2756f
419,2188m,1622f
420,2189m,2939f
421,2191m,3149f
422,2196m,1797f
423,2199m,427f
424,2202m,5567f
425,2206m,3639f
426,2209m,2465f
427,2213m,2787f
428,2216m,4723f
429,2216m,3271f
430,2225m,856f
431,2232m,733f
432,2234m,799f
433,2236m,866f
434,2237m,7314f
435,2238m,2928f
436,2241m,783f
437,2242m,3212f
438,2244m,1677f
439,2252m,1052f
440,2253m,3037f
441,2254m,3981f
442,2259m,2837f
443,2261m,3557f
444,2263m,3469f
445,2264m,4128f
446,2266m,1972f
447,2269m,2159f
448,2274m,5294f
449,2275m,2054f
450,227m,6325f
451,2280m,1400f
452,2282m,6446f
453,2283m,504f
454,2288m,3855f
455,2292m,3891f
456,2297m,4947f
457,22m,1249f
458,2302m,5378f
459,2307m,838f
460,2309m,419f
461,2312m,5573f
462,2313m,3652f
463,2316m,379f
464,2317m,1385f
465,2317m,7599f
466,2319m,2692f
467,231m,1017f
468,231m,1725f
469,2320m,5350f
470,2324m,4847f
471,2326m,6029f
472,2327m,4906f
473,2329m,2118f
474,2329m,7906f
475,232m,5575f
476,2330m,4024f
477,2330m,3447f
478,2333m,3542f
479,2336m,4885f
480,2340m,7309f
481,2344m,5577f
482,2346m,296f
483,2349m,5066f
484,2350m,3372f
485,2351m,1020f
486,2353m,1351f
487,2358m,2352f
488,2359m,2872f
489,2363m,1299f
490,2364m,4845f
491,2365m,4875f
492,2368m,5679f
493,236m,1185f
494,2370m,48f
495,2374m,3320f
496,2377m,5341f
497,2378m,1206f
498,2383m,6333f
499,2385m,287f
500,2386m,875f
501,2389m,1964f
502,2394m,5363f
503,2394m,7914f
504,2395m,6550f
505,2397m,698f
506,2398m,6218f
507,239m,877f
508,2402m,722f
509,2404m,7596f
510,2407m,161f
511,2409m,1044f
512,2416m,1073f
513,2418m,238f
514,2420m,4934f
515,2426m,4374f
516,2428m,7024f
517,2431m,4519f
518,2436m,2719f
519,2441m,4558f
520,2442m,6446f
521,2447m,601f
522,2449m,1883f
523,245m,2455f
524,2460m,4632f
525,2462m,3063f
526,246m,3444f
527,246m,7701f
528,2471m,4600f
529,2473m,1878f
530,2474m,4404f
531,2478m,4428f
532,2479m,851f
533,2479m,7503f
534,2481m,4636f
535,2482m,1106f
536,2483m,215f
537,2484m,1849f
538,2489m,500f
539,2490m,3427f
540,2494m,6650f
541,2495m,3953f
542,2497m,4242f
543,2505m,1746f
544,2509m,2335f
545,2512m,1008f
546,2520m,3014f
547,2525m,3295f
548,252m,1688f
549,2530m,3489f
550,2533m,4625f
551,2539m,2745f
552,2542m,3319f
553,2544m,341f
554,2554m,2451f
555,2555m,4191f
556,2559m,7498f
557,2560m,4790f
558,2563m,4888f
559,2565m,87f
560,2567m,1252f
561,2569m,1997f
562,256m,4904f
563,2573m,1821f
564,2576m,4440f
565,2577m,759f
566,2584m,264f
567,2586m,6330f
568,2588m,5313f
569,2588m,1655f
570,2589m,3365f
571,2591m,2903f
572,2594m,4335f
573,2600m,789f
574,2601m,4724f
575,2602m,3610f
576,2604m,2968f
577,2606m,1443f
578,260m,5291f
579,261m,4419f
580,2621m,2717f
581,262m,4125f
582,2633m,4716f
583,2634m,3570f
584,2634m,1547f
585,2636m,1948f
586,2637m,3538f
587,2638m,1569f
588,2645m,4975f
589,2659m,4082f
590,265m,983f
591,2660m,2083f
592,2661m,1731f
593,2662m,5570f
594,2666m,4520f
595,2666m,80f
596,2670m,3818f
597,267m,158f
598,2682m,324f
599,2686m,5292f
600,2687m,1606f
601,2688m,1909f
602,2689m,4323f
603,2689m,7792f
604,2694m,1282f
605,2696m,1492f
606,2696m,3446f
607,2697m,531f
608,2699m,2869f
609,26m,954f
610,2700m,4858f
611,2701m,981f
612,2707m,617f
613,2708m,3091f
614,2710m,1474f
615,2712m,653f
616,2713m,3909f
617,2715m,4160f
618,2723m,520f
619,2723m,4807f
620,2728m,2778f
621,2731m,2960f
622,2733m,3691f
623,2735m,1811f
624,2737m,387f
625,2738m,1655f
626,2743m,2761f
627,2744m,2470f
628,2748m,4893f
629,2750m,337f
630,2751m,3992f
631,2752m,761f
632,2757m,657f
633,2759m,763f
634,2760m,1864f
635,2762m,188f
636,2764m,1781f
637,2766m,3899f
638,2771m,3721f
639,2772m,339f
640,2780m,2506f
641,2781m,4793f
642,2781m,342f
643,2786m,5283f
644,2800m,4376f
645,2802m,5514f
646,2803m,3134f
647,2809m,80f
648,2809m,2195f
649,2810m,3010f
650,2814m,6131f
651,2817m,6f
652,2822m,4168f
653,2823m,3197f
654,2825m,2808f
655,2826m,686f
656,2827m,5359f
657,2831m,1327f
658,2832m,4593f
659,2833m,3673f
660,2834m,7124f
661,2838m,3815f
662,2849m,5337f
663,2854m,2015f
664,285m,4993f
665,2860m,3276f
666,2876m,2110f
667,2877m,2440f
