,number,value,datetime_start,datetime_complete,duration,params_beta,params_f_cross_layer,params_hi5_cin_fn_k,params_hi5_dur_cin_par1,params_hi5_rel_beta,params_hpv16_cin_fn_k,params_hpv16_dur_cin_par1,params_hpv18_cin_fn_k,params_hpv18_dur_cin_par1,params_m_cross_layer,params_ohr_cin_fn_k,params_ohr_dur_cin_par1,params_ohr_rel_beta,state
1323,1323,31.41141006,42:01.1,47:54.1,0 days 00:05:52.985477,0.185784152,0.25223798,0.055252878,1.637245649,0.899919194,0.302643797,5.405853425,0.343666869,5.384103127,0.150997997,0.157996715,4.178089328,0.279590471,COMPLETE
363,363,31.71725,53:11.9,59:47.9,0 days 00:06:36.042803,0.312889938,0.147181539,0.044525696,2.7608844,0.786183371,0.272656723,5.500717295,0.645072984,3.092083734,0.9718082,0.214210894,2.791452682,0.475304545,COMPLETE
1065,1065,31.99525859,36:57.5,42:27.5,0 days 00:05:29.925540,0.300506408,0.310706987,0.632566711,1.598417094,0.997067489,0.244121062,5.983476855,0.123553374,2.944632419,0.447846257,0.00027006,3.516752558,0.440444911,COMPLETE
1612,1612,32.10335189,25:12.6,31:10.8,0 days 00:05:58.210740,0.273692757,0.131004027,0.034171545,7.018095053,0.844582547,0.245522202,6.408008221,0.455419375,3.788057052,0.53392374,0.031226367,4.451973926,0.281773828,COMPLETE
1697,1697,32.2776456,07:25.2,13:16.5,0 days 00:05:51.387352,0.497485106,0.124217251,0.019826559,7.347329872,0.902568532,0.24566538,6.16639151,0.481480043,4.357640385,0.560167417,0.022656349,1.012597352,0.245336687,COMPLETE
1193,1193,32.36743606,08:45.4,14:44.7,0 days 00:05:59.300031,0.264343402,0.27213839,0.000219661,1.436136756,0.961705187,0.321109615,5.148642069,0.394456535,3.353390378,0.533201956,0.173786149,3.773446495,0.429386635,COMPLETE
1208,1208,32.49114316,26:30.4,32:26.2,0 days 00:05:55.831775,0.235168472,0.209151555,0.000342108,1.79101965,0.94073765,0.313956086,4.915934282,0.401944372,2.898382855,0.515623543,0.136685468,4.080302306,0.399698805,COMPLETE
1251,1251,32.5256512,15:21.8,21:16.2,0 days 00:05:54.461780,0.20880817,0.233760287,0.071471411,1.37431935,0.945587969,0.320709666,4.831498732,0.45784654,2.483612717,0.54830106,0.152333094,4.314855621,0.345641308,COMPLETE
1601,1601,32.54201524,11:41.8,17:40.5,0 days 00:05:58.714848,0.285557927,0.142429041,0.039379462,8.681138119,0.859374104,0.250160974,6.101262435,0.447146357,4.02060682,0.527031875,0.038682061,4.297332492,0.309164622,COMPLETE
252,252,32.54569829,25:55.7,32:33.4,0 days 00:06:37.705247,0.469094722,0.137763305,0.058429291,1.230939088,0.997747666,0.263665551,7.514267471,0.456281231,3.416749593,0.42538455,0.03787183,3.123309307,0.558148926,COMPLETE
1334,1334,32.54690217,53:48.7,59:45.7,0 days 00:05:56.951130,0.196095869,0.224332331,0.01844068,1.196395066,0.925107077,0.339917508,5.319533777,0.335078648,6.183811916,0.568660632,0.195865878,4.461893069,0.265452468,COMPLETE
1255,1255,32.56019693,20:50.1,26:46.9,0 days 00:05:56.789211,0.200288241,0.244785459,0.020898155,1.449316336,0.941735687,0.329022744,5.663937125,0.342631342,2.853601532,0.551173215,0.196318772,3.703368541,0.285252682,COMPLETE
1735,1735,32.58972292,52:01.1,57:52.2,0 days 00:05:51.029000,0.477573129,0.091023551,0.031705903,8.050429579,0.866444581,0.260721001,6.330114576,0.290056976,4.288303977,0.443811916,0.083880167,1.173299697,0.303536552,COMPLETE
1600,1600,32.62533762,09:48.1,15:48.8,0 days 00:06:00.698617,0.278201243,0.112860208,0.045274409,5.867684627,0.887540573,0.273132198,6.363908455,0.444372724,3.626557302,0.522421566,0.042153566,4.663547795,0.289317226,COMPLETE
1609,1609,32.63098352,20:23.1,26:23.0,0 days 00:05:59.842384,0.28172746,0.122542345,0.019937102,1.183964307,0.872713747,0.246251512,6.240822193,0.444538641,4.138894013,0.525430042,0.053118339,4.440863913,0.296700365,COMPLETE
975,975,32.64485714,08:41.1,15:17.7,0 days 00:06:36.671088,0.289236658,0.413014717,0.089254884,1.443290441,0.984620084,0.194398033,7.454568462,0.966523711,2.984111662,0.433425786,0.107514487,2.984284334,0.491368308,COMPLETE
111,111,32.67734606,30:19.7,26:01.9,0 days 02:55:42.144217,0.327296066,0.043893289,0.170471856,3.323097687,0.847339851,0.21475878,7.705022576,0.486001592,3.26478203,0.847884306,0.081515949,3.326236482,0.723226219,COMPLETE
1639,1639,32.68017605,56:24.1,02:57.9,0 days 00:06:33.849258,0.271846637,0.122479386,0.018400493,7.508109365,0.875634669,0.232456875,6.038036794,0.476672582,3.944674924,0.474404854,0.067154788,4.161457774,0.246638869,COMPLETE
1257,1257,32.68060522,24:19.5,30:15.2,0 days 00:05:55.692888,0.20625823,0.247663016,0.075404661,1.334119351,0.939545797,0.326568952,4.706120583,0.467976869,2.36484927,0.542728744,0.131123849,4.491634884,0.32248574,COMPLETE
1182,1182,32.71653884,55:51.4,01:46.4,0 days 00:05:54.987528,0.263926421,0.317705401,0.002254182,1.448772803,0.944923981,0.267644558,5.80004692,0.428588416,3.410052568,0.495133845,0.105624631,4.191742948,0.470333671,COMPLETE
1230,1230,32.80369459,51:10.7,57:06.0,0 days 00:05:55.376945,0.21642231,0.248189945,0.038204452,1.357194849,0.980421918,0.291599435,5.322476752,0.430332615,3.076712085,0.516422257,0.114577922,3.730716011,0.342573612,COMPLETE
575,575,32.80956723,32:41.1,39:18.8,0 days 00:06:37.688276,0.335985361,0.279957471,0.336572355,1.584229052,0.973157309,0.16388838,10.98839538,0.385958166,2.452249282,0.411900996,0.121639344,1.201053552,0.49757065,COMPLETE
1824,1824,32.8130931,41:38.8,47:37.1,0 days 00:05:58.279491,0.214704406,0.143018637,0.397551741,1.786401429,0.921816041,0.262571501,5.742769344,0.406515679,3.395863276,0.608972283,0.000105652,3.292593724,0.468103149,COMPLETE
