year,t,infections,cins,cancers,cancer_deaths,reinfections,reactivations,n_susceptible,n_infectious,n_inactive,n_normal,n_cin,n_cancerous,n_infected,n_abnormal,n_latent,n_precin,n_screened,n_cin_treated,n_cancer_treated,n_vaccinated,n_tx_vaccinated,hpv_incidence,cin_incidence,cancer_incidence,births,other_deaths,migration,asr_cancer_incidence,asr_cancer_mortality,new_vaccinated,cum_vaccinated,new_doses,cum_doses,new_txvx_doses,new_tx_vaccinated,cum_txvx_doses,cum_tx_vaccinated,new_screens,new_screened,new_cin_treatments,new_cin_treated,new_cancer_treatments,new_cancer_treated,cum_screens,cum_screened,cum_cin_treatments,cum_cin_treated,cum_cancer_treatments,cum_cancer_treated,cancer_mortality,n_alive,cdr,cbr,hpv_prevalence,precin_prevalence,cin_prevalence,Seed
1980.0,0,9542964.75,18928.651489257812,112.50312805175781,0.0,3852613.3984375,0.0,215426048.0,9457970.0,112.50312805175781,55926984.0,17550.48828125,112.50312805175781,9458082.0,17662.9921875,0.0,4802871.0,14043456.0,421.88677978515625,0.0,0.0,0.0,0.011074525154451146,0.0006634947912555561,0.3941096436284192,739989.337575,714310.5,-27282.009025000003,0.35913968145508285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14100972.90625,14100972.90625,421.88674545288086,421.88674545288086,0.0,0.0,14100972.90625,14100972.90625,421.88674545288086,421.88674545288086,0.0,0.0,0.0,55926984.0,0.012772197764141903,0.01323134710026559,0.16911282038738223,0.04206217087196916,0.0006148086317308375,0
1981.0,1,5236683.25,34116.576171875,703.1445388793945,0.0,4571086.25,0.0,217820672.0,7392890.0,815.6477661132812,55934920.0,40641.75390625,787.52197265625,7393705.5,41429.2734375,28.125782012939453,3677530.5,14453304.0,6581.43408203125,28.125782012939453,0.0,0.0,0.006010314817594539,0.0011974961211615183,2.464598490061752,718051.227225,723592.0,64126.784100000004,2.2666289690838335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2918781.1030273438,523758.30615234375,6159.545703887939,6159.545703887939,28.125782012939453,0.0,17019754.009277344,14624731.212402344,6581.43244934082,6581.43244934082,28.125782012939453,28.125782012939453,0.0,55934920.0,0.012936319565666671,0.012837262075730153,0.13216949268900358,0.032224476743680674,0.0014244985906432008,0
1982.0,2,4190150.75,29447.6962890625,1068.7797088623047,0.0,3620462.875,0.0,219082112.0,6159349.0,1884.4271240234375,55901844.0,53467.109375,1743.798095703125,6161233.5,55210.9140625,140.62890625,3000177.0,14749470.0,13247.2431640625,140.62890625,0.0,0.0,0.004781484339077395,0.0010347845310712494,3.748850915010637,709894.7503000001,707532.125,-562.51565,3.117628152317465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1362440.9091796875,406305.03125,6890.816303253174,6890.816303253174,112.50313186645508,0.0,18382194.91845703,15031036.243652344,13472.248752593994,13472.248752593994,140.62891387939453,140.62891387939453,0.0,55901844.0,0.012656686691766375,0.012698950508680895,0.11018149955840455,0.026306937480726923,0.0018752972289345772,0
1983.0,3,3625863.3125,24188.17431640625,1350.0375213623047,0.0,3033956.125,0.0,219881168.0,5359958.5,3234.465087890625,55867808.0,58698.5,2896.955322265625,5363192.5,61595.4609375,337.5093994140625,2570134.0,15051595.0,20700.57421875,450.01251220703125,0.0,0.0,0.00412252598242065,0.0008509552435493102,4.7402115657192425,710738.523775,719654.375,7031.445625,4.1662544628286495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1358025.1965332031,420480.421875,8268.979125976562,8268.979125976562,309.38360595703125,0.0,19740220.114990234,15451516.665527344,21741.227878570557,21741.227878570557,450.0125198364258,450.0125198364258,0.0,55867808.0,0.012881378395944942,0.012721790047230777,0.09594001790798737,0.022558150475557193,0.0020607946444652207,0
1984.0,4,3272237.8125,28097.6572265625,1828.1758422851562,0.0,2660755.125,56.251564025878906,220744624.0,4788949.0,5034.5146484375,55927660.0,68795.65625,4359.49609375,4793955.0,73155.15625,675.018798828125,2254028.25,15413604.0,26185.1015625,843.7735595703125,0.0,0.0,0.0037059088384639436,0.000990052032673459,6.4271870088602245,716926.195925,698306.875,64408.041925000005,5.707076118697505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1076007.9582519531,479853.953125,5822.037002563477,5765.785438537598,393.7609405517578,0.0,20816228.073242188,15931370.618652344,27563.264881134033,27507.013317108154,843.7734603881836,843.7734603881836,0.0,55927660.0,0.012485894725436394,0.01281881265772607,0.08562755888588938,0.019807778812698303,0.002418229039098202,0
1985.0,5,2914758.9375,27732.0224609375,1490.6664428710938,84.37734603881836,2386669.4375,112.50313186645508,221845472.0,4278184.5,6328.3017578125,56053280.0,64070.53125,4950.1376953125,4284428.5,69020.6640625,1378.1632080078125,2003905.625,15780898.0,48151.3359375,1631.295166015625,0.0,0.0,0.003284672559713096,0.0009748362594503275,5.229124617300472,734364.1810750001,727951.4375,140628.9125,4.159701773738062,0.2315802381223676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10385079.008789062,468688.0078125,22275.618896484375,21966.236083984375,815.647705078125,0.0,31201307.08203125,16400058.626464844,49838.88377761841,49473.24940109253,1659.4211654663086,1659.4211654663086,0.2959367982812621,56053280.0,0.012986776821980801,0.013101181252461945,0.0763235353934685,0.017570753364519322,0.0022471467487945756,0
1986.0,6,2720184.9375,24019.4189453125,1434.414794921875,84.37734603881836,2170916.375,168.75469589233398,222854912.0,3923377.5,7565.83544921875,56205264.0,62692.3671875,5372.0244140625,3930803.0,68064.390625,2193.810546875,1811131.5,16158149.0,61904.84375,2531.3203125,0.0,0.0,0.0030515200597193925,0.0008416903167169648,5.01641121776947,741395.6267,698560.0,127691.05255000001,3.9442634797183884,0.2007380551815865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2567743.234375,477041.390625,13922.26171875,13697.257469177246,1012.5281982421875,0.0,33769050.31640625,16877100.017089844,63761.14549636841,63170.506870269775,2671.949363708496,2671.949363708496,0.29502760416140594,56205264.0,0.012428729095552331,0.013190857473776834,0.06980444927720648,0.015831672017167665,0.0021920550667742103,0
1987.0,7,2515063.5625,24244.4248046875,1715.6727294921875,140.62891387939453,2026799.875,196.88047409057617,223700928.0,3610197.0,9169.00390625,56322640.0,68317.515625,6525.18212890625,3619084.75,74842.6953125,2643.8232421875,1651827.125,16521843.0,68739.4140625,3150.087890625,0.0,0.0,0.002810743327023659,0.0008478010569154605,5.9865842844710375,760802.4166250001,691641.0625,70876.9719,4.487605023304281,0.462653032537793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600694.447265625,472653.7421875,7172.073883056641,7115.822372436523,618.7671813964844,0.0,35369744.763671875,17349753.759277344,70933.21937942505,70286.3292427063,3290.7165451049805,3290.7165451049805,0.4905919343851141,56322640.0,0.012279983013935427,0.013507932451763627,0.0640985046155507,0.01440623130351664,0.00238329524265528,0
1988.0,8,2265728.5625,25931.9736328125,1687.5470275878906,393.7609405517578,1827444.40625,168.75469207763672,224523616.0,3344380.25,10350.2880859375,56447564.0,71861.375,7087.697265625,3354365.0,78949.0625,3262.5908203125,1509004.375,16860872.0,80074.09375,3825.10595703125,0.0,0.0,0.0025228176470532167,0.0009060589054385353,5.882947456818403,770083.9248500001,689362.875,61314.205850000006,4.347767098786966,0.9042591549309927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1764077.0546875,467450.46875,12994.111236572266,11644.074966430664,759.3960876464844,0.0,37133821.818359375,17817204.228027344,83927.33061599731,81930.40420913696,4050.112632751465,4050.112632751465,1.3723485413734697,56447564.0,0.012212446847130552,0.01364246515314638,0.059247556723616986,0.013148078819445703,0.0025045362047376304,0
1989.0,9,2138403.09375,17550.488037109375,1687.5469665527344,421.88672637939453,1727288.4375,450.01250076293945,225350224.0,3087704.5,11503.4453125,56582876.0,68514.3984375,7762.71484375,3098645.5,76277.1171875,3740.728515625,1388963.625,17297664.0,90002.5,4359.49609375,0.0,0.0,0.0023723108144658423,0.0006055994715317822,5.8108905765287,767271.3466,684947.125,66939.36235000001,4.348166379019591,0.9874411800363356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1626738.9111328125,603860.515625,11390.940887451172,10856.551460266113,675.0187683105469,0.0,38760560.72949219,18421064.743652344,95318.27150344849,92786.95566940308,4725.131401062012,4725.131401062012,1.452334381266447,56582876.0,0.012105201669141032,0.013560133397955948,0.054569592750994135,0.011953680341094163,0.002358590831157976,0
