year,t,infections,cins,cancers,cancer_deaths,reinfections,reactivations,n_susceptible,n_infectious,n_inactive,n_normal,n_cin,n_cancerous,n_infected,n_abnormal,n_latent,n_precin,n_screened,n_cin_treated,n_cancer_treated,n_vaccinated,n_tx_vaccinated,hpv_incidence,cin_incidence,cancer_incidence,births,other_deaths,migration,asr_cancer_incidence,asr_cancer_mortality,new_vaccinated,cum_vaccinated,new_doses,cum_doses,new_txvx_doses,new_tx_vaccinated,cum_txvx_doses,cum_tx_vaccinated,new_screens,new_screened,new_cin_treatments,new_cin_treated,new_cancer_treatments,new_cancer_treated,cum_screens,cum_screened,cum_cin_treatments,cum_cin_treated,cum_cancer_treatments,cum_cancer_treated,cancer_mortality,n_alive,cdr,cbr,hpv_prevalence,precin_prevalence,cin_prevalence,Seed
1980,0,10738620.38,361613.1563,0,0,4482546.461,0,215276416,10552061,0,56107392,259994.7031,0,10552061,259994.7031,0,5136302,0,0,0,0,0,0.012470735,0.01270304,0,739989.3376,715098,-27282.00903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56107392,0.012745166,0.013188803,0.188068998,0.044699787,0.009050642,0
1981,1,5979062.875,508598.5156,28.12578201,0,5319710.375,0,217695232,8663078,28.12578201,56146460,423292.9688,28.12578201,8663106,423321.125,0,4019033.5,0,0,0,0,0,0.006866323,0.017960278,0.097858659,718332.4851,709585.375,53438.98675,0.054463491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56146460,0.012638114,0.012793905,0.154294287,0.034958747,0.014727712,0
1982,2,4944090.25,447396.8047,309.3836021,0,4306000.875,0,218991552,7524772,337.5093994,56125336,476338.2188,337.5093994,7525109,476675.75,0,3373434.5,0,0,0,0,0,0.005644156,0.015832493,1.076710829,709894.7503,712229.125,-3656.351725,0.961867797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56125336,0.012689975,0.012648383,0.134070859,0.029350059,0.016577236,0
1983,3,4375809.063,393001.5391,731.2703247,0,3710352.938,0,219887360,6751790.5,1068.779663,56105724,487419.7813,1068.779663,6752859.5,488488.5625,0,2963698,0,0,0,0,0,0.004975058,0.013919619,2.546206467,711019.7816,711919.75,-3093.836075,2.15408331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56105724,0.012688897,0.012672856,0.120340493,0.025797253,0.016970813,0
1984,4,3992088.938,349237.7891,1125.031265,0,3278987.875,0,220869504,6172793,2193.810547,56172496,490682.375,2193.810547,6174987,492876.1875,0,2650320.5,0,0,0,0,0,0.004518606,0.012383031,3.921141783,716926.1959,692794.25,56814.08065,3.184701432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56172496,0.012333336,0.01276294,0.109889954,0.023091554,0.017100752,0
1985,5,3807808.938,289470.5234,1996.930542,0,3058566.063,0,221866576,5800127,4162.615234,56301592,475269.4375,4162.615234,5804290,479432.0625,0,2454958.75,0,0,0,0,0,0.004290652,0.010233556,6.944030644,734645.4389,709697.8125,118690.8022,5.987721996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56301592,0.012605289,0.013048395,0.103018881,0.021338801,0.0165244,0
1986,6,3623444.375,279007.7383,2446.943207,0,2898614.813,0,222828464,5494653,6553.307617,56447972,468941.125,6553.307617,5501206,475494.4375,0,2310786.25,0,0,0,0,0,0.004065284,0.009832588,8.485074099,741114.3689,733154.75,152722.999,6.832442723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56447972,0.01298815,0.013129158,0.097340131,0.020027782,0.016257411,0
1987,7,3397819.375,268094.9414,2278.188446,84.37734604,2694309.25,0,223747056,5171713,8578.363281,56579028,450153.125,8578.363281,5180291,458731.5,0,2155138,0,0,0,0,0,0.003796496,0.009416572,7.879700536,761083.6745,666665.375,47813.83025,6.500342896,0.299545444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.291754183,56579028,0.011782906,0.013451692,0.09140689,0.01862972,0.015565085,0
1988,8,3277328.438,239856.6445,3234.465027,365.63517,2631954.313,0,224575088,4894448.5,11419.06836,56705120,432771.375,11419.06836,4905868,444190.4688,0,2036419,0,0,0,0,0,0.003648366,0.008410928,11.1769863,770365.1827,678337.5625,45282.50983,8.815305839,0.902965313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.262987014,56705120,0.011962545,0.013585461,0.086314049,0.017585636,0.014948907,0
1989,9,3039918.938,231587.6836,2756.326874,478.1382828,2428773.563,0,225443040,4618281,13528.50293,56840572,421492.9375,13528.50293,4631810,435021.4375,0,1919612.5,0,0,0,0,0,0.00337105,0.008017324,9.409227026,767271.3466,695606.875,74252.0658,7.185626162,1.267647628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.631459231,56840572,0.012237858,0.013498656,0.081249728,0.016374811,0.014381792,0
