year,t,infections,cins,cancers,cancer_deaths,reinfections,reactivations,n_susceptible,n_infectious,n_inactive,n_normal,n_cin,n_cancerous,n_infected,n_abnormal,n_latent,n_precin,n_screened,n_cin_treated,n_cancer_treated,n_vaccinated,n_tx_vaccinated,hpv_incidence,cin_incidence,cancer_incidence,births,other_deaths,migration,asr_cancer_incidence,asr_cancer_mortality,new_vaccinated,cum_vaccinated,new_doses,cum_doses,new_txvx_doses,new_tx_vaccinated,cum_txvx_doses,cum_tx_vaccinated,new_screens,new_screened,new_cin_treatments,new_cin_treated,new_cancer_treatments,new_cancer_treated,cum_screens,cum_screened,cum_cin_treatments,cum_cin_treated,cum_cancer_treatments,cum_cancer_treated,cancer_mortality,n_alive,cdr,cbr,hpv_prevalence,precin_prevalence,cin_prevalence,Seed
1980,0,10714882.63,354778.5762,0,0,4476668.078,0,215273600,10584969,0,56114984,250825.7188,0,10584969,250825.7188,0,5169856.5,14164846,4106.364258,0,0,0,0.012443331,0.012455614,0,739989.3376,715098,-27282.00903,0,0,0,0,0,0,0,0,0,0,14192241.21,14192241.21,4078.23822,4078.23822,0,0,14192241.21,14192241.21,4078.23822,4078.23822,0,0,0,56114984,0.012743441,0.013187019,0.188629992,0.044979909,0.008729154,0
1981,1,6032895.5,527133.3672,56.25156403,0,5374808.75,0,217727024,8677197,56.25156403,56155736,387685.75,56.25156403,8677254,387742,0,4068816.25,14616519,65279.9375,0,0,0,0.006927132,0.018585344,0.195654336,718332.4851,696422.5,39376.0955,0.137618236,0,0,0,0,0,0,0,0,0,3046781.543,539874.3633,61511.08557,61511.08557,0,0,17239022.75,14732115.57,65589.32379,65589.32379,0,0,0,56155736,0.012401627,0.012791792,0.154520226,0.035380349,0.013484469,0
1982,2,4936524.75,456425.1641,225.0062561,0,4305550.75,0,219082672,7496252,281.2578125,56127832,430915.0938,253.1320343,7496533.5,431168.2188,28.12578201,3400125.5,14927616,111237.4609,28.12578201,0,0,0.005633176,0.016123518,0.782938161,709894.7503,721229.375,2812.57825,0.724101735,0,0,0,0,0,0,0,0,0,1496347.832,413814.6016,46520.04277,46520.04277,28.12578201,0,18735370.58,15145930.17,112109.3666,112109.3666,28.12578201,28.12578201,0,56127832,0.012849764,0.012647821,0.133556771,0.029577673,0.014994112,0
1983,3,4333873.5,383382.5,590.6414032,0,3703546.563,0,220081152,6661619.5,871.899353,56110396,418821,787.5219727,6662492,419608.5,84.37734985,2981895.5,15245747,157504.375,84.37734985,0,0,0.00492304,0.013543105,2.056096209,711019.7816,714423,843.773475,1.621703088,0,0,0,0,0,0,0,0,0,1395657.539,424811.7813,47701.3209,47138.80527,56.25156403,0,20131028.12,15570741.95,159810.6875,159248.1718,84.37734604,84.37734604,0,56110396,0.012732453,0.012671801,0.118723445,0.025950162,0.01457928,0
1984,4,3935893.875,361585.0234,843.7734833,0,3261718.75,28.12578201,221142048,6036693.5,1715.672363,56175708,416486.5313,1546.917603,6038408.5,418033.4688,168.7546844,2652289.5,15610287,194349.1563,225.0062561,0,0,0.004449509,0.012785234,2.940346621,716644.9381,708094.625,70595.71408,2.40056968,0,0,0,0,0,0,0,0,0,1219365.118,470656.8203,40923.01197,37941.67867,140.6289101,0,21350393.24,16041398.77,200733.6994,197189.8505,225.0062561,225.0062561,0,56175708,0.012604997,0.012757203,0.107460924,0.023105224,0.014512766,0
1985,5,3680877.313,290651.7969,871.8991852,0,2994242.438,84.37734604,222380432,5569186,2559.446045,56312372,335962.4375,2081.307617,5571717,338043.75,478.1383057,2492731.75,15991587,292339.375,562.515686,0,0,0.004138041,0.010221391,3.030634865,734926.6967,692738,105471.6844,2.265497902,0,0,0,0,0,0,0,0,0,10587302.61,473666.2813,102237.2154,100071.5289,337.5093765,0,31937695.84,16515065.05,302970.9149,297261.3794,562.5156326,562.5156326,0,56312372,0.012301702,0.013050892,0.098898089,0.021659652,0.011676875,0
1986,6,3400041.313,284407.8906,1518.792267,0,2725782,56.25156403,223509952,5184004,3993.860352,56466640,332278,3403.219971,5187913.5,335681.1875,590.6414795,2302686,16386248,345834.625,731.2703857,0,0,0.003803009,0.009969015,5.262973743,741114.3689,723198.25,147379.1003,3.995932962,0,0,0,0,0,0,0,0,0,2673692.978,497151.3047,55745.29668,53860.87041,168.7546921,0,34611388.82,17012216.36,358716.2115,351122.2498,731.2703247,731.2703247,0,56466640,0.012807531,0.013124818,0.09180649,0.019946024,0.011512859,0
1987,7,3163025.375,251613.2344,1350.037521,28.12578201,2510872.75,28.12578201,224521920,4845679,5259.521484,56598524,322658.9375,4471.999023,4850825.5,327130.9375,787.5219727,2144140.75,16754726,377082.3438,928.1508179,0,0,0.003521956,0.008792104,4.665553467,760802.4166,687590.9375,66939.36235,3.979637943,0.087107468,0,0,0,0,0,0,0,0,1724869.785,476478.8516,35072.84982,33104.0459,253.1320496,0,36336258.61,17488695.21,393789.0614,384226.2957,984.4023743,984.4023743,0.097184012,56598524,0.012148567,0.013442089,0.085614936,0.018521814,0.011148949,0
1988,8,2974217,242641.1133,1434.414886,28.12578201,2368247.063,56.25156403,225438832,4564336,6665.810547,56728540,310761.75,5597.030273,4570833.5,316358.75,1068.779663,2007449.5,17112202,411733.2813,1209.408447,0,0,0.003298253,0.008466309,4.952273881,770646.4405,664781,35719.74378,4.054386402,0.053504161,0,0,0,0,0,0,0,0,1925490.896,471584.9609,41851.16329,37632.29649,253.1320381,0,38261749.5,17960280.17,435640.2247,421858.5922,1237.534412,1237.534412,0.097084649,56728540,0.011718634,0.01358481,0.080459254,0.017323299,0.010726882,0
1989,9,2729775.875,220027.9805,1800.050079,140.6289101,2208548.75,140.6289101,226378512,4231355,8212.727539,56861976,295039.4375,6918.942871,4239399,301958.375,1293.785645,1867101.75,17540390,442446.625,1546.917603,0,0,0.003014615,0.007578642,6.139166029,766990.0888,717601.125,93377.5979,4.377739297,0.156051883,0,0,0,0,0,0,0,0,1836669.757,610413.8281,37604.1711,32794.6626,393.7609444,0,40098419.26,18570694,473244.3958,454653.2548,1631.295357,1631.295357,0.479509186,56861976,0.012620053,0.013488629,0.074414491,0.015915868,0.010060102,0
